problem;method;stage-reward;best-so-far;time
adjiman;myopic;1.2627878135222812,1.2324128600308257,1.2259837729233178,1.214318822424971,1.293658145943613,1.3340332476085228,1.3710133456935936,1.3995233483543703,1.423384516292998,1.4432369907144305,1.460228675659139,1.4749550787665502,1.4879288123576004,1.4995012063338455,1.5099466339824814,1.5194698198315089,1.5282318226861875,1.536357794613225,1.5439477707012401,1.5510815328479792;-1.1860321240364864,-1.1860321240364864,-1.1860321240364864,-1.1860321240364864,-1.2740687703560225,-1.318399591300195,-1.3577500264589144,-1.3880098433905474,-1.4131568352615713,-1.4339957400167573,-1.4517506286208286,-1.4670754650478626,-1.480520834362963,-1.4924653817804363,-1.503202735469845,-1.5129517176470308,-1.5218834304868183,-1.5301302098742866,-1.5377970881420935,-1.5449669550945524,-1.5517050791831493;0.1829178798943758,0.10908875614404678,0.07287159375846386,0.09367908723652363,0.25713893957436085,0.2099008709192276,0.2652296684682369,0.2682579141110182,0.24432365782558918,0.35470340214669704,0.3874077443033457,0.30555887892842293,0.4381619393825531,0.4273075573146343,0.4904482178390026,0.5774130504578352,0.6635314580053091,0.6390795521438122,0.733871215954423,0.5720648318529129
adjiman;ei;nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan;-1.1860321240364864,-1.7827163365394487,-1.7935191167639482,-1.7935191167639482,-1.7935191167639482,-1.7935191167639482,-1.7935191167639482,-1.7935191167639482,-2.021410343986034,-2.021410343986034,-2.021410343986034,-2.021410343986034,-2.021410343986034,-2.021410343986034,-2.021410343986034,-2.021410343986034,-2.021410343986034,-2.021410343986034,-2.021410343986034,-2.021410343986034,-2.021410343986034;0.49460449628531933,0.8675284776836634,0.8105077277868986,1.0746484603732824,1.4084067195653915,0.3691696971654892,0.31339642219245434,0.4053040109574795,0.44496065378189087,0.6695375200361013,0.7187070455402136,0.7713016122579575,0.5084622204303741,0.8048075418919325,0.7717504929751158,0.8716590274125338,0.7015502229332924,0.7415908481925726,0.7046078108251095,0.5150515120476484
adjiman;s-myopic;1.328836635678895,1.285214668248248,1.2569579516036262,1.3822685312786331,1.4971348848399044,1.5957184968570464,1.6765680117818265,1.7393082051871225,1.780759166688591,1.791555419608886,1.7669589019163447,1.7546397609344824,1.7531038767345446,1.8152927396540088,1.8522612595784254,1.8894642771565822,1.9236351534518705,1.955990469580863,1.9867584255701578,2.0161423616875656;-1.1860321240364864,-1.1860321240364864,-1.1860321240364864,-1.320923303480681,-1.4401790557354317,-1.5405770526764682,-1.620905175631004,-1.6799613612959887,-1.7119003447815757,-1.7119003447815757,-1.7119003447815757,-1.7119003447815757,-1.7119003447815757,-1.7831510802623505,-1.8223990482546344,-1.8603051891372129,-1.8945356179782926,-1.926632428662391,-1.9569181674777865,-1.9856348844575178,-2.012927671273889;0.12499303184449673,0.38525975309312344,0.2437785342335701,0.2340426091104746,0.24204017780721188,0.18485651165246964,0.21279566548764706,0.23618531227111816,0.20121053606271744,0.1492334920912981,0.16015861183404922,0.1104231309145689,0.21854559518396854,0.38254124484956264,0.27124810963869095,0.32297164760529995,0.27343711256980896,0.28230565786361694,0.3007951881736517,0.35534517653286457
branin;myopic;-13.94319972035794,-8.759452953380736,4.137985972362399,4.484940481628825,7.383411963662175,5.231333520739859,2.8210385096839907,3.196115296269923,2.2208887988147197,1.5131468909006873,1.0488996259381613,1.8145764838086804,1.1436860230894539,1.7917646985187385,15.228788518943254,14.049507571745927,16.13747474565048,12.1462224506714,10.304972173320381,10.745913516261623,46.70672650443564,41.58774252027669,39.02924731623514,37.24907362316615,33.31126735485029,30.286727968524886,27.33411507155324,26.96290729063626,23.659616860558547,23.360575903386543,22.597437483419725,23.48097114069161,20.714918630228894,18.628150149517538,18.190211029790685,16.79281887261358,19.74531868471728,18.160430691023794,16.22558681404722,16.044979310248465;24.365487378504547,19.417858347577518,5.850722197421323,5.209350523632596,1.9446251927218228,1.9446251927218228,1.9446251927218228,1.9446251927218228,1.9446251927218228,1.9446251927218228,1.9446251927218228,0.44871993277708455,0.44871993277708455,0.44871993277708455,0.44871993277708455,0.44871993277708455,0.44871993277708455,0.44871993277708455,0.44871993277708455,0.44871993277708455,0.44871993277708455,0.44871993277708455,0.44871993277708455,0.44871993277708455,0.44871993277708455,0.44871993277708455,0.44871993277708455,0.44871993277708455,0.44871993277708455,0.44871993277708455,0.44871993277708455,0.44871993277708455,0.44871993277708455,0.44871993277708455,0.44871993277708455,0.44871993277708455,0.44871993277708455,0.44871993277708455,0.44871993277708455,0.44871993277708455,0.44871993277708455;0.16183345578610897,0.10349148884415627,0.10079699009656906,0.10088849812746048,0.16231803223490715,0.14835549145936966,0.17237606830894947,0.07798711955547333,0.18171202018857002,0.19384987279772758,0.1178776491433382,0.13505291752517223,0.14494654163718224,0.1342756487429142,0.1908346526324749,0.12818692438304424,0.13173815608024597,0.12253130599856377,0.11098020523786545,0.13166428543627262,0.10248939320445061,0.1128834243863821,0.08235770091414452,0.10339648462831974,0.10790860280394554,0.07786454260349274,0.07689404860138893,0.1279254797846079,0.1140665952116251,0.15832920745015144,0.1332662608474493,0.11896765045821667,0.12406063266098499,0.10779981501400471,0.11321959644556046,0.13765212893486023,0.13791701570153236,0.11778883263468742,0.14530601352453232,0.13309555873274803
step2function;ei;nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan;5423.0,3959.0,3309.0,2462.0,1794.0,1771.0,1771.0,1763.0,1692.0,1565.0,1501.0,1501.0,1494.0,1461.0,1433.0,1433.0,1433.0,1433.0,1433.0,1433.0,1433.0,1433.0,1433.0,1433.0,1433.0,1433.0,1433.0,1433.0,1433.0,1433.0,1433.0,1433.0,1433.0,1433.0,1433.0,1433.0,1433.0,1433.0,1431.0,1431.0,1431.0,1431.0,1431.0,1431.0,1431.0,1431.0,1431.0,1431.0,1431.0,1431.0,1431.0,1431.0,1431.0,1431.0,1431.0,1431.0,1431.0,1336.0,914.0,301.0,149.0,77.0,69.0,69.0,69.0,69.0,69.0,69.0,69.0,69.0,69.0,69.0,69.0,68.0,68.0,68.0,68.0,68.0,68.0,68.0,68.0;0.6118032317608595,0.5197470113635063,0.928393792361021,0.9894759841263294,0.837903831154108,0.6676873322576284,0.6406655535101891,0.7160922735929489,0.5357498917728662,0.5786506570875645,0.7631154898554087,0.906197052448988,0.7250032667070627,0.626719644293189,0.7442330121994019,0.6198466774076223,0.7954680025577545,0.5817856527864933,0.6401087306439877,0.7119986489415169,0.5386034026741982,0.4290709067136049,0.5380037445574999,0.5806286241859198,0.4963309932500124,0.4872686006128788,0.5127277597784996,0.5329376887530088,0.40129644609987736,0.7001568078994751,0.45258158072829247,0.6295755319297314,0.4450633395463228,0.7396949045360088,0.73411425948143,0.6335796304047108,0.5636914446949959,0.4463838189840317,0.6224100776016712,0.7752861566841602,0.6215422507375479,0.7731557078659534,0.7801127564162016,0.7381242029368877,0.9120344985276461,0.8785688504576683,0.671442024409771,0.810846071690321,0.9311879724264145,0.8692076038569212,1.839791677892208,1.051279379054904,1.0370677895843983,0.84094213321805,1.0284567680209875,1.0005344692617655,0.9518444705754519,0.9382918607443571,0.8157878257334232,0.7975498754531145,1.1679922584444284,1.1794839818030596,1.6021881345659494,1.2247001621872187,0.9915823470801115,1.0827885158360004,0.8814915157854557,0.9827976115047932,1.4698610082268715,1.1311167776584625,0.9436970762908459,1.3722476549446583,1.6985491197556257,0.8136897701770067,0.9301035888493061,1.9060460049659014,1.732896650210023,1.377087812870741,1.2307398989796638,1.4349612724035978
branin;s-myopic;-12.173984824348572,-7.1197723866731675,5.092138803593743,8.009029878932429,10.022633083769842,6.097633045883347,3.9805321884918987,5.027492470130888,3.1812919776650785,2.964681914832669,2.386987622598854,3.4017357845571308,22.75045282001627,67.30515487594984,63.92048214356663,65.6274829621039,53.49286804737033,50.570988726035736,49.57435849944173,47.6989382437074,45.03781879758434,43.34857308987278,42.35696070704218,40.87482715384739,36.108886992895464,33.84754998407399,32.90610341868324,29.86972133080063,29.56510591071891,29.656126529612614,27.479049267948962,27.017099843588703,25.81779324065596,24.897182001588494,25.95275255269662,24.70229213655139,24.356793926296625,24.130177586979862,22.14635318710618,21.06384931679397;24.365487378504547,19.55067325475537,6.734912245552029,3.815600879924842,2.1362086965167553,2.1362086965167553,2.1362086965167553,1.9922901085695024,1.9922901085695024,1.9922901085695024,1.9922901085695024,1.9922901085695024,1.9922901085695024,1.9922901085695024,1.9922901085695024,1.9922901085695024,1.9922901085695024,1.9922901085695024,1.9922901085695024,1.9922901085695024,1.9922901085695024,1.9922901085695024,1.9922901085695024,1.9922901085695024,1.9922901085695024,1.9922901085695024,0.697249830109369,0.697249830109369,0.697249830109369,0.697249830109369,0.697249830109369,0.697249830109369,0.697249830109369,0.697249830109369,0.697249830109369,0.697249830109369,0.697249830109369,0.697249830109369,0.697249830109369,0.697249830109369,0.697249830109369;0.22011792287230492,0.20808229222893715,0.15997275337576866,0.17324704304337502,0.46530761756002903,0.4435587488114834,0.31123934872448444,0.27247668243944645,0.2837466225028038,0.3503412827849388,0.27088931389153004,0.28257251903414726,0.22550157643854618,0.27500440925359726,0.13241454027593136,0.1296745203435421,0.2508522290736437,0.14270060509443283,0.14589885249733925,0.16562201641499996,0.16056722775101662,0.23197286576032639,0.20548852160573006,0.18309489265084267,0.20168672874569893,0.1536273341625929,0.17762361094355583,0.27364417910575867,0.21153067238628864,0.27568922005593777,0.19301429204642773,0.2998956311494112,0.30216553434729576,0.44049435295164585,0.2463884800672531,0.18174707517027855,0.15582993254065514,0.294679069891572,0.1574833281338215,0.2835508603602648
ackley;myopic;-19.532748898870263,-19.60884195767894,-19.606818637114323,-19.63158103450204,-19.78072518252949,-19.790717583370704,-19.30567514989854,-19.495552061139872,-19.518604253514273,-19.860054510441696,-19.633419531422298,-19.36381611803936,-19.479915079701687,-19.520336056636346,-19.57831839666719,-19.826852989388886,-19.878280984310173,-19.863848030932523,-19.56072062358507,-19.465168096233693,-19.69498880929615,-19.44910842033944,-19.485718248136756,-19.495700051897227,-19.565397809225722,-19.570412850313943,-19.66763253076864,-16.60093661270224,-14.880991253812608,-13.835423955543668,-12.110831556507351,-8.847563176073226,-7.315299851897171,-3.8638402582617792,-3.659503001288235,-4.4619247428937765,-2.006964202458413,-2.9572845133924393,-3.1955748842218834,-2.078148020438489,-2.3532329853370215,-2.4329294984457412,-1.24202338097814,-1.4240939606088743,-1.80733393790543,-0.4927280428022654,-0.10811706253041231,0.07942349829476421,0.003654712578913241,-0.7168307436227583;20.01749433686089,20.01749433686089,20.01749433686089,20.01749433686089,20.01749433686089,20.01749433686089,19.618565431289337,19.618565431289337,19.618565431289337,19.618565431289337,19.618565431289337,19.618565431289337,19.618565431289337,19.618565431289337,19.618565431289337,19.618565431289337,19.618565431289337,19.618565431289337,19.618565431289337,19.516784370295532,19.516784370295532,19.516784370295532,19.516784370295532,19.516784370295532,19.471492160034966,19.471492160034966,19.471492160034966,17.446761860481896,15.796718835526693,14.930122683210143,13.348820422205922,10.281611813255338,9.162230633992754,5.937891794333819,5.937891794333819,5.937891794333819,4.015983521219432,4.015983521219432,4.015983521219432,2.765988437552775,2.765988437552775,2.765988437552775,1.4610784461575403,0.6581937243292697,0.6581937243292697,0.6581937243292697,0.25064166303143454,0.0859233578604095,0.0859233578604095,0.0859233578604095,0.0859233578604095;0.2508801557123661,0.4388735331594944,0.3375241346657276,0.6358520910143852,0.9241251610219479,1.4382781852036715,0.7650304492563009,1.6479810737073421,2.841625265777111,0.5127398800104856,0.4456313271075487,0.4432660713791847,0.23375735245645046,0.4361909572035074,0.8635596577078104,0.4508516490459442,0.21307488903403282,0.26791604049503803,2.2474972996860743,2.286986131221056,0.3377635069191456,1.332788748666644,1.461667887866497,1.6424888968467712,0.23673812113702297,0.18856227211654186,0.11502624489367008,0.6663488615304232,0.6047029606997967,0.4202915895730257,0.48923853784799576,0.34354850463569164,0.4565218184143305,0.4369777776300907,0.32228460535407066,0.27722127735614777,0.4852310139685869,0.31792586855590343,0.42852229811251163,0.3510960265994072,0.32901947386562824,0.30526746809482574,0.49623188748955727,0.20560667850077152,0.2081905212253332,1.071207219734788,1.108477285131812,0.7965787928551435,1.2126091253012419,0.22874741442501545
hartmann;myopic;5.4843491567477125,5.839117686623,4.136299969122074,4.17662699984361,10.819724965947648,4.913612551535135,14.777748019483145,5.649472318684561,11.997195614473785,11.184420972930415,9.486396603094969,5.890031067390823,5.003402727676975,5.188682835563071,5.20071708364873,11.067782369540083,8.081473720203508,6.574771747393116,10.198011218465524,6.30336324245552,4.655649697597207,4.25903483407203,4.088514132797515,4.372392784986919,15.15062569726631,11.429106848946478,6.872838228089225,8.45002536362149,6.944304793250451,5.504200518452797,4.386084702984626,4.252207884931984,4.693371560219063,4.096201980013396,4.026245777616012,4.029834091949024,5.918079490137745,6.97949199979159,6.953454687337234,6.139283651918508,5.375659648046753,2.279180030341456,4.0029602446732415,3.968611713396906,3.9329974310982188,3.9079866700228365,4.000664375542147,3.9268854230178176,3.9441604521937035,3.90224981882371;-3.534104805085887,-3.534104805085887,-3.534104805085887,-3.534104805085887,-3.534104805085887,-3.534104805085887,-3.534104805085887,-3.534104805085887,-3.534104805085887,-3.534104805085887,-3.534104805085887,-3.534104805085887,-3.534104805085887,-3.534104805085887,-3.534104805085887,-3.534104805085887,-3.534104805085887,-3.534104805085887,-3.534104805085887,-3.534104805085887,-3.534104805085887,-3.534104805085887,-3.534104805085887,-3.8342519880174817,-3.8342519880174817,-3.8342519880174817,-3.8342519880174817,-3.8342519880174817,-3.8342519880174817,-3.8342519880174817,-3.8342519880174817,-3.8342519880174817,-3.8342519880174817,-3.8342519880174817,-3.8342519880174817,-3.835700536841388,-3.835700536841388,-3.835700536841388,-3.835700536841388,-3.835700536841388,-3.835700536841388,-3.835700536841388,-3.8387266721542237,-3.8472124060577784,-3.8472124060577784,-3.8472124060577784,-3.8472124060577784,-3.8472124060577784,-3.8589776613697215,-3.8589776613697215,-3.8589776613697215;0.035577192902565,0.056891344487667084,0.6371592078357935,0.07734067179262638,0.06124380975961685,0.07275779731571674,0.08228785172104836,0.07235280610620975,0.0992739088833332,0.142998568713665,0.12990526668727398,0.09207222238183022,0.1276173684746027,0.11497364938259125,0.0967531856149435,0.11040330678224564,0.09116999804973602,0.12882034853100777,0.2648779880255461,0.24529637210071087,0.16176784597337246,0.13107501342892647,0.18604210577905178,0.18260766565799713,0.12035221792757511,0.1554371453821659,0.12675070017576218,0.11624137684702873,0.10830713622272015,0.10544287785887718,0.11239609867334366,0.16202332451939583,0.16857356391847134,0.18475712463259697,0.1471403930336237,0.581632699817419,0.12520770728588104,0.13765796832740307,0.20863191224634647,0.1626440118998289,0.1457516010850668,0.11555208079516888,0.19084107875823975,0.12196900509297848,0.09081942401826382,0.2016773596405983,0.18736561574041843,0.4560904633253813,0.25145369209349155,0.21974405087530613
hartmann;s-myopic;5.714613311041483,6.096514487903524,4.322435279365989,4.460511995489638,10.565441313945877,5.038048475854733,15.35179446123645,5.828018045968269,12.024294804953506,11.31459147541108,10.304594319534086,6.098954043796121,5.3144354141328565,5.854832401319154,5.617644145461022,5.349471903651891,10.974259260446503,4.3245277473979105,7.662618559445052,4.732284664474618,4.5332416021781405,4.152745499611134,8.531863274577285,4.21919342284041,8.88078684082805,4.544834064283057,4.522208689508378,4.151257340418296,4.139638350414578,4.145386537345859,5.088552369478766,4.456643243311821,22.131897047813595,4.633373182048867,3.8125530885716317,4.167647453476723,3.943325306933869,4.70311026450916,4.10883060935962,4.599067157269083,4.194966587151817,4.008641035512178,4.150406200343173,4.037073560318369,3.9478694038098894,4.020252308044228,3.8952080258786217,3.9724595733069163,3.9498504899607254,3.93117613194272;-3.534104805085887,-3.534104805085887,-3.534104805085887,-3.534104805085887,-3.534104805085887,-3.534104805085887,-3.534104805085887,-3.534104805085887,-3.534104805085887,-3.534104805085887,-3.534104805085887,-3.534104805085887,-3.534104805085887,-3.534104805085887,-3.534104805085887,-3.534104805085887,-3.534104805085887,-3.534104805085887,-3.6775664634998897,-3.6775664634998897,-3.6775664634998897,-3.6775664634998897,-3.8189397591540146,-3.8189397591540146,-3.8189397591540146,-3.8189397591540146,-3.8189397591540146,-3.8189397591540146,-3.8189397591540146,-3.8189397591540146,-3.8189397591540146,-3.8189397591540146,-3.8189397591540146,-3.8189397591540146,-3.8189397591540146,-3.84499773154861,-3.84499773154861,-3.84796504290215,-3.84796504290215,-3.84796504290215,-3.84796504290215,-3.84796504290215,-3.84796504290215,-3.84796504290215,-3.84796504290215,-3.85424973640469,-3.85424973640469,-3.85424973640469,-3.85424973640469,-3.85424973640469,-3.85424973640469;0.1237605344504118,0.07365112006664276,0.6644900813698769,0.07805146835744381,0.06894774734973907,0.11165434680879116,0.13131988421082497,0.0906718522310257,0.12103654071688652,0.19709589518606663,0.25537019595503807,0.09535570256412029,0.18698179349303246,0.13422479666769505,0.3579810466617346,0.19238816760480404,0.1626677755266428,0.18713459745049477,0.22804808616638184,0.3395464140921831,0.24007399007678032,0.2523737847805023,0.34324341267347336,0.22059772908687592,0.23362229578197002,0.18615335412323475,0.17548873089253902,0.32466341368854046,0.2878839150071144,0.2572269085794687,0.3992057032883167,0.3517042677849531,0.21085252612829208,0.24454398825764656,0.2541190031915903,0.3443743418902159,0.1675434336066246,0.3136202450841665,0.578895315527916,0.3426938820630312,0.25664438866078854,0.4042902085930109,0.4146551340818405,0.47507468983531,0.42114979587495327,0.49180476926267147,0.4623987842351198,0.3440842442214489,0.47407640144228935,0.4249749630689621
ackley;s-myopic;-19.458737670915713,-19.517030163834523,-19.54229238918377,-19.593769024753804,-19.62752776743118,-19.68811275146777,-19.74327002290294,-19.775624730411067,-19.86808704158415,-19.921972477625552,-19.603223765754556,-19.765308987464287,-19.684943979646825,-19.898763463918485,-17.368698279513794,-17.626925012648663,-17.699150501058366,-17.820937332094562,-18.02327055132435,-18.157284003112157,-17.25416995946067,-17.008525053521577,-16.642708156085927,-16.203717473060465,-15.63718457482947,-15.80846377190406,-15.945181431482853,-15.091788587043187,-14.292691236519223,-11.685048996992311,-10.354987464120672,-9.811679423808595,-10.422520934289592,-8.575113785322376,-5.549546203841434,-3.031545890404139,-3.6504560520859166,-4.141414306826697,-1.7491200800640616,-1.5238618060325018,-0.9052559936153128,-1.7071840389847435,-1.622588211826225,-2.03016865460439,-2.1512131852206693,-2.172449726970264,-2.2843712159134206,-2.5792693280803594,-2.400032534160162,-2.3832980626511504;20.01749433686089,20.01749433686089,20.01749433686089,20.01749433686089,20.01749433686089,20.01749433686089,20.01749433686089,20.01749433686089,20.01749433686089,20.01749433686089,19.78384110493254,19.78384110493254,19.78384110493254,19.78384110493254,18.258056593399136,18.258056593399136,18.258056593399136,18.258056593399136,18.258056593399136,18.258056593399136,18.04218124209124,17.89553039528763,17.610006302043757,17.258790816128975,16.790806406746956,16.790806406746956,16.790806406746956,16.075119407947817,15.42786231875085,13.052024406366256,12.038148857164312,11.84292329908792,11.84292329908792,10.183900462167907,7.392137858612795,5.272954675549979,5.272954675549979,5.272954675549979,2.8915405611424956,2.8915405611424956,2.8915405611424956,2.8915405611424956,2.8915405611424956,2.8915405611424956,2.8915405611424956,2.8915405611424956,2.8915405611424956,2.8915405611424956,2.8915405611424956,2.8915405611424956,2.8915405611424956;0.34425720013678074,1.072038484737277,1.1076760273426771,0.6821010373532772,1.0217311102896929,1.3710868880152702,1.2791214119642973,1.0534538123756647,1.6868684776127338,1.93216323107481,1.700143676251173,0.331503814086318,1.47760989703238,0.5162344519048929,1.2072437461465597,1.5375018883496523,0.7377670295536518,0.5734105799347162,1.154716471210122,0.5660042464733124,0.694124499335885,0.7124143019318581,0.9223547279834747,0.8841158617287874,0.49268730729818344,0.6618910096585751,0.6332371030002832,0.7659162785857916,1.0601312443614006,0.9834760036319494,0.9753600154072046,0.7469684444367886,0.6662475448101759,1.0557368509471416,1.2236796580255032,1.1052562184631824,1.2928498536348343,1.4248833321034908,1.189268009737134,0.7288162410259247,0.7824892327189445,0.7298430800437927,0.760217159986496,0.7105876728892326,0.5516947824507952,0.7247336972504854,1.007424894720316,0.5829014237970114,0.5823986567556858,0.6893748193979263
rastrigin;myopic;-4.630438330264869,-7.208024633314384,-12.756012172500553,-19.010686358094507,-20.852312586404203,-21.82957940188782,-27.432890098457385,-29.2394620714935,-30.674734290680917,-33.875299305088575,-36.071464476345426,-37.39569826940351,-39.357578490332486,-39.32248854518186,-39.90602299040873,-26.999258295842484,-38.55195117739331,-3.4917202692079874,-1.3967365627435342,17.410377601477478,-11.728875566839145,34.60867148108208,-21.502699480889575,-22.35602937954234,-41.550433043692024,-43.0561791613047,-3.579984664573888,11.153290263166282,5.569174590298586,0.3904528379888448,-0.8841027394842356,-13.7491676519069,93.68999945156412,61.84370451312541,-6.459949744824797,5.787937929485009,144.69334339167452,49.94345379007134,30.061961240942527,36.640769080236694,34.86073436558871,10.163102445276513,37.233741431218384,32.33422381088623,-16.207217910791922,49.07834764848698,27.844153818405207,23.237683772577995,3.581439431710936,1.1710836355041883,-3.341266464475306,3.3401931079822895,-6.7558236763815716,8.013684052373334,-5.974950467138099,49.74292312428827,14.794565140827592,-2.7591642811032546,21.824364061747886,-9.737875361106084,-9.494332805830247,4.33124217242157,14.128391066239509,2.5099075077864486,-41.10743432271884,-17.28867310475568,-33.57733848968414,7.9096530359969766,29.368964508638072,-7.796934001732975,-1.0312270893807065,-13.586214502522333,38.93418758975337,42.003765229192716,-5.91331894626906,-1.3197635520540665,-5.869728126532033,-8.263055089650308,-42.356830185171766,-45.97638822642329;50.15120045088709,50.15120045088709,50.15120045088709,50.15120045088709,50.15120045088709,50.15120045088709,50.15120045088709,50.15120045088709,50.15120045088709,50.15120045088709,50.15120045088709,50.15120045088709,50.15120045088709,47.877237794736445,47.877237794736445,47.877237794736445,47.877237794736445,23.99119059127738,23.99119059127738,23.99119059127738,23.99119059127738,23.99119059127738,23.99119059127738,23.99119059127738,23.99119059127738,23.99119059127738,23.99119059127738,23.99119059127738,23.99119059127738,23.99119059127738,23.99119059127738,23.99119059127738,23.99119059127738,23.99119059127738,23.99119059127738,23.99119059127738,23.99119059127738,23.99119059127738,23.99119059127738,23.99119059127738,23.99119059127738,23.99119059127738,23.99119059127738,23.99119059127738,23.99119059127738,23.99119059127738,23.99119059127738,23.99119059127738,23.99119059127738,23.99119059127738,23.99119059127738,23.99119059127738,23.99119059127738,23.99119059127738,23.99119059127738,23.99119059127738,23.99119059127738,23.99119059127738,23.99119059127738,23.99119059127738,23.99119059127738,23.99119059127738,23.99119059127738,23.99119059127738,23.99119059127738,23.99119059127738,23.99119059127738,23.99119059127738,23.99119059127738,23.99119059127738,23.99119059127738,23.99119059127738,23.99119059127738,23.99119059127738,23.99119059127738,23.99119059127738,23.99119059127738,23.99119059127738,23.99119059127738,23.99119059127738,23.99119059127738;0.15142950788140297,0.10643138363957405,1.1231518313288689,0.25731077417731285,0.2004382349550724,0.11497971788048744,0.13757269456982613,0.1395751405507326,0.11403207667171955,0.10345090180635452,0.0939951092004776,0.11737958155572414,0.10385031066834927,0.17288362979888916,0.09774966537952423,0.19306272082030773,0.11739243380725384,0.18165384232997894,0.3060891032218933,0.3066335078328848,0.2874675951898098,0.37148616276681423,0.18969427980482578,0.1421156134456396,0.16643287986516953,0.2657088730484247,0.35889099165797234,0.27181693352758884,0.21091844514012337,0.1870953869074583,0.16092228516936302,0.31595015339553356,0.24053305201232433,0.2831041608005762,0.2664416190236807,0.37811315432190895,0.3212501183152199,0.21961751580238342,0.3046846520155668,0.2775820232927799,0.24235344305634499,0.3612749073654413,0.24383018910884857,0.18749147653579712,0.2657332066446543,0.1961771622300148,0.19228538312017918,0.28721684217453003,0.29505149833858013,0.20949787460267544,0.21013827435672283,0.2773831784725189,0.20603316463530064,0.255983367562294,0.1857817955315113,0.22946986928582191,0.22816861607134342,0.19991170056164265,0.3152867518365383,0.24810118414461613,0.20073794201016426,0.11641334742307663,0.3637358844280243,0.1850605346262455,0.11212816834449768,0.1574870478361845,0.15786839090287685,0.21160459145903587,0.2213999480009079,0.16886427998542786,0.1853074375540018,0.3350216094404459,0.28274913132190704,0.22271685674786568,0.2425135113298893,0.2645429279655218,0.17841074988245964,0.31858017668128014,0.14925330132246017,0.20180085487663746
hartmann;ei;nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan;-3.534104805085887,-3.534104805085887,-3.534104805085887,-3.534104805085887,-3.534104805085887,-3.534104805085887,-3.534104805085887,-3.534104805085887,-3.534104805085887,-3.534104805085887,-3.534104805085887,-3.534104805085887,-3.534104805085887,-3.534104805085887,-3.534104805085887,-3.534104805085887,-3.534104805085887,-3.534104805085887,-3.534104805085887,-3.534104805085887,-3.534104805085887,-3.534104805085887,-3.534104805085887,-3.534104805085887,-3.7550203424168505,-3.7550203424168505,-3.7550203424168505,-3.7550203424168505,-3.7550203424168505,-3.7550203424168505,-3.7550203424168505,-3.7550203424168505,-3.7550203424168505,-3.7550203424168505,-3.7550203424168505,-3.7550203424168505,-3.7550203424168505,-3.7550203424168505,-3.7550203424168505,-3.7550203424168505,-3.7550203424168505,-3.7550203424168505,-3.7550203424168505,-3.7550203424168505,-3.7550203424168505,-3.7550203424168505,-3.7550203424168505,-3.7550203424168505,-3.7550203424168505,-3.7550203424168505,-3.7550203424168505;0.9201256055384874,1.4259317927062511,1.0725289098918438,0.959560027346015,0.5604530982673168,0.23424426093697548,0.22099360078573227,0.6717432010918856,0.2777740377932787,0.31696611642837524,0.31944109685719013,0.3381800036877394,0.33764706179499626,0.31836532428860664,0.34512680023908615,0.31806078366935253,0.30973182432353497,0.3473303746432066,0.5312191843986511,0.43837392143905163,0.34879209473729134,0.33331099152565,0.45197539776563644,0.4519102871417999,0.6789026688784361,0.5215241480618715,0.635803647339344,0.40583047084510326,0.7162275239825249,0.46455821208655834,0.4586655758321285,0.41266297176480293,0.907416520640254,0.9679276291280985,1.1549388505518436,0.7850136607885361,1.0613968297839165,0.7797362245619297,1.0057175662368536,1.2248767632991076,1.1284553315490484,1.2188260406255722,1.1526892092078924,0.6037280913442373,0.6772365011274815,0.6361045893281698,0.44076417945325375,0.8057723082602024,0.7942986711859703,0.4536631889641285
